cnpj,nome,uf,city,ibge,bairro,cnae_match,match,tier,method,addr_sim,name_sim,tp_id,tp_name
61877892000106,INSTITUTO BRILIO DE DESENVOLVIMENTO MOTOR E PSICOMOTRIC,SP,Americana,3501608,JARDIM NOSSA SENHORA DE FATIMA,secundario,0,,,,,,
61883628000177,,SP,São Paulo,3550308,JARDIM UBIRAJARA (ZONA LESTE),principal,0,,,,,,
61886717000177,STUDIO RENOVA AND BEAUTY,PR,Colombo,4105805,GUARAITUBA,secundario,0,,,,,,
61887878000185,MERCADINHO RIBEIRINHO,AM,Tefé,1304203,CENTRO,secundario,0,,,,,,
61895305000101,ACADEMIA E FISIOTERAPIA BREZZE,MG,Belo Horizonte,3106200,CASTELO,principal,0,,,,,,
61897086000191,KEEP PUSHNG,SP,Jundiaí,3525904,CENTRO,principal,0,,,,,,
61897130000163,CASA DE FERRO ACADEMIA,PA,Canaã dos Carajás,1502152,JARDIM AMERICA,principal,0,,,,,,
61912495000110,START FIT ACADEMIA,PB,Aroeiras,2501302,CENTRO,principal,0,,,,,,
61915934000148,CYCLE 26,PA,Santarém,1506807,AEROPORTO VELHO,principal,1,alta,num+rua+nome,100,88,8c8944b9-c04b-4f10-9591-71fa2ea9acd2,Cyclo 26 
61916970000126,,PR,Paulo Frontin,4118709,CENTRO,secundario,0,,,,,,
61923396000133,DMTEAM CONSULTORIA FITNESS,PE,Igarassu,2606804,SARAMANDAIA,principal,0,,,,,,
59614256000212,VITA FIT STUDIO PERSONAL TRAINING,SP,Colômbia,3512100,CENTRO,principal,0,,,,,,
61925915000100,VIZZA SAUDE E SERVICOS,RS,Porto Alegre,4314902,PETROPOLIS,secundario,0,,,,,,
61926627000162,FLEME BEACH SPORTS,MG,Sete Lagoas,3167202,BOA VISTA,principal,0,,,,,,
61927498000127,SHAPEME ACADEMIA,MG,Santos Dumont,3160702,CENTRO,principal,1,alta,num+rua+nome,100,100,daa79079-9825-44e2-bf32-b6f8cccaa3e4,SHAPEME ACADEMIA
61931210000198,REEF 2 ACADEMIA,PE,Recife,2611606,VARZEA,principal,0,,,,,,
61943721000120,,SP,São Paulo,3550308,CAMPOS ELISEOS,principal,0,,,,,,
51829226000130,ELITE ACADEMIA,CE,Itapipoca,2306405,SAO FRANCISCO,principal,0,,,,,,
55443934000190,GROUP SRO,RS,Araricá,4300877,DA CANOA,secundario,0,,,,,,
58880364000193,CONATUS MODALIDADES AQUATICAS,SC,São Bento do Sul,4215802,MATO PRETO,secundario,0,,,,,,
56319075000194,,AL,Maceió,2704302,TABULEIRO DO MARTINS,secundario,0,,,,,,
59115872000148,RPR EVENTOS ESPORTIVOS E CULTURAIS,AC,Rio Branco,1200401,PORTAL DA AMAZONIA,secundario,0,,,,,,
48130984000151,,PR,Curitiba,4106902,CRISTO REI,secundario,0,,,,,,
53438676000128,,SP,Carapicuíba,3510609,VILA SANTA TEREZINHA,secundario,0,,,,,,
54003866000185,MAILA MINELI CLINICA DE ESTETICA E FISIOTERAPIA,MT,Vila Rica,5108600,SETOR SUL,secundario,0,,,,,,
45238947000173,,SC,Canoinhas,4203808,CENTRO,secundario,0,,,,,,
52011411000186,XSPORTS,RJ,Rio de Janeiro,3304557,CENTRO,principal,0,,,,,,
58374584000145,PRIME IMPORT,SC,Itajaí,4208203,VILA OPERARIA,secundario,0,,,,,,
44186747000151,MSB,SP,Barueri,3505708,BETHAVILLE I,secundario,0,,,,,,
44369258000135,ELEMENTAL TREINAMENTO E PERFORMANCE,SP,São Paulo,3550308,JARDIM SANTA CRUZ (SACOMA),principal,0,,,,,,
57334962000102,INUTRI SAUDE E FITNESS,DF,Brasília,5300108,SETORES COMPLEMENTARES,secundario,0,,,,,,
55246345000111,WARRIOR GYM,GO,Novo Gama,5215231,BOA VISTA I E II,principal,0,,,,,,
61859834000141,DOCTORFIT VILA ROMANA,SP,São Paulo,3550308,VILA ROMANA,principal,1,alta,num+rua+nome,100,100,0a442968-b5e3-4701-9c7e-ba8dcec49aca,DOCTORFIT VILA ROMANA
61663626000172,RED MOB CAPOEIRAS,SC,Florianópolis,4205407,ESTREITO/CAPOEIRAS,principal,1,alta,num+rua+nome,86,79,99246b7c-afb5-4b06-86b5-1ab8a9c13e55,REDMOB - CAPOEIRAS
47195007000170,STUDIO EXTREME,MT,Mirassol d'Oeste,5105622,CENTRO,principal,0,,,,,,
58839657000127,,RJ,Resende,3304201,ENGENHEIRO PASSOS,principal,0,,,,,,
61882704000120,ESTACAO-FIT,DF,Brasília,5300108,CEILANDIA NORTE (CEILANDIA),principal,0,,,,,,
58082541000196,"GILSON MOURA STUDIO DE PILATES, YOGA E DANCA",SP,Paulínia,3536505,VILA BRESSANI,principal,1,alta,num+rua+nome,95,83,c0c9a0eb-cd67-4f43-a69d-4d41ad4fd8e3,"Gilson Moura studio pilates, core e funcional "
61908501000165,,SP,Olímpia,3533908,JARDIM TROPICAL,principal,0,,,,,,
59863644000156,REAL BEACH SPORTS,RJ,Rio das Ostras,3304524,VILLAGE RIO DAS OSTRAS,principal,0,,,,,,
47234716000117,STUDIO MALHART,MG,Carlos Chagas,3113701,SAGRES,principal,0,,,,,,
52066988000195,,SP,Santo André,3547809,VILA BASTOS,principal,0,,,,,,
44578610000142,STUDIO RQT QUALIDADE DE VIDA E SAUDE,RJ,Rio de Janeiro,3304557,ENCANTADO,secundario,0,,,,,,
47293471000107,INTEGRAR CENTRO DE TREINAMENTO E NUTRICAO,RS,Santa Vitória do Palmar,4317301,CENTRO,secundario,0,,,,,,
57137772000197,VITALI FISIOTERAPIA,RS,Pejuçara,4314308,CENTRO,secundario,0,,,,,,
61197235000100,VITACORE GYM,GO,Itaberaí,5210406,VILA PROGRESSO,principal,0,,,,,,
61899710000190,FRANCO ASSESSORIA,MG,Pocrane,3151909,NOSSA SENHORA DAS GRACAS,principal,0,,,,,,
49218098000147,VEGAS PRO TRAINER,GO,Rio Verde,5218805,MARTINS,secundario,0,,,,,,
58441645000140,LIFESTYLE PREMIER,MS,Campo Grande,5002704,MONTE CASTELO,principal,0,,,,,,
59652514000174,SERINTEGRAL - PSICOMOTRICIDADE INFANTIL,PR,Cornélio Procópio,4106407,CENTRO,secundario,0,,,,,,
51852656000173,,RO,Nova Mamoré,1100338,CENTRO,secundario,0,,,,,,
46493926000167,,CE,Iguatu,2305506,ZONA RURAL,secundario,0,,,,,,
58089067000124,FAMFIT2,MG,Viçosa,3171303,SANTO ANTONIO,principal,0,,,,,,
46247370000129,AKA FIT,BA,Salvador,2927408,PERIPERI,principal,0,,,,,,
59995916000171,CHIQUINHO CALHEIROS,AL,Maceió,2704302,SERRARIA,principal,0,,,,,,
54911976000145,,SP,Hortolândia,3519071,JARDIM ADELAIDE,secundario,0,,,,,,
50164277000128,C.T. VAI NA FITA FUTEVOLEI,RJ,Niterói,3303302,ICARAI,secundario,0,,,,,,
60785819000133,OFICIAL GYM,SP,São Bernardo do Campo,3548708,CENTRO,principal,1,alta,num+rua+nome,100,100,e8e69f8f-8c17-44d4-880f-d83eae20262d,OFICIAL GYM - SBC
53079635000192,BIO FITT ACADEMIA,MA,Tuntum,2112308,CENTRO,principal,0,,,,,,
58405736000120,POTENCIAL VIVA BEM,MG,Conselheiro Lafaiete,3118304,SANTO AGOSTINHO,principal,0,,,,,,
57971944000123,ARENA GMFIT,BA,Paramirim,2923605,CENTRO,principal,0,,,,,,
46204268000146,ESTUDIO S,DF,Brasília,5300108,AREA OCTOGONAL,principal,0,,,,,,
54688648000121,MOUV PILATES E FISIOTERAPIA,MA,São Luís,2111300,TURU,secundario,0,,,,,,
53846787000173,,ES,Vila Velha,3205200,DIVINO ESPIRITO SANTO,secundario,0,,,,,,
52464606000181,,MG,Uberlândia,3170206,TUBALINA,principal,0,,,,,,
59596332000123,IVAVIDA PILATES FITNESS,PR,Maringá,4115200,JARDIM ALAMAR,principal,0,,,,,,
54734448000168,,BA,Feira de Santana,2910800,ASA BRANCA,principal,0,,,,,,
50268681000141,PASSOS TREINAMENTO ESPORTIVO,SP,Bauru,3506003,JARDIM COLONIAL,principal,0,,,,,,
61809140000108,THE WOMAN GYM CHACARA KLABIN,SP,São Paulo,3550308,VILA MARIANA,principal,0,,,,,,
60672705000187,,SP,São Sebastião,3550704,VILA AMELIA,secundario,0,,,,,,
44952060000180,STUDIO NEW FIT,BA,Nova Viçosa,2923001,CENTRO - POSTO DA MATA,principal,0,,,,,,
44241745000118,SINERGIA FISIOTERAPIA E MUSCULACAO,AL,Maceió,2704302,JATIUCA,secundario,0,,,,,,
48986446000163,ATIVIDADE REABILITACAO DO MOVIMENTO DRA SIMONE DELVALLE,RJ,Niterói,3303302,SAO FRANCISCO,secundario,0,,,,,,
57279039000107,BIKE AND FLY ATIBAIA,SP,Atibaia,3504107,JARDIM DO LAGO,principal,1,alta,num+rua+nome,100,100,e0f949ef-c0ef-4261-b3cb-f9cba05e9393,BIKE AND FLY ATIBAIA
56115676000185,REDE DE ACADEMIA ELEUTEIRO,CE,Fortaleza,2304400,MESSEJANA,principal,0,,,,,,
54964334000104,ASSOCIACAO AMIGOS DA CARIDADE,AL,São Miguel dos Campos,2708600,HELIO JATOBA,secundario,0,,,,,,
57269711000183,FLEXFIT ACADEMIA,GO,Uruana,5221700,CENTRO,principal,0,,,,,,
61138948000100,ANPIDEL SPORTS,MG,Guaxupé,3128709,CENTRO,principal,0,,,,,,
45907257000160,HIITBOX TREINAMENTO FUNCIONAL,MG,Ibirité,3129806,PETROVALE - 1A SECAO,principal,0,,,,,,
48215744000150,,PB,João Pessoa,2507507,JARDIM OCEANIA,principal,0,,,,,,
43887901000150,,AM,Manaus,1302603,CENTRO,secundario,0,,,,,,
61263159000193,ERGOVIX,ES,Alegre,3200201,CENTRO,principal,0,,,,,,
45570034000150,KARLINI ORBEN FISIOTERAPIA E PILATES,SC,São Francisco do Sul,4216206,CENTRO,secundario,0,,,,,,
47096942000189,BRINCANDO E APRENDENDO,TO,Palmas,1721000,PLANO DIRETOR NORTE,secundario,0,,,,,,
44522630000100,KLAUS CENTRO DE TREINAMENTO FISICO.,RJ,Rio de Janeiro,3304557,GRAJAU,principal,0,,,,,,
49770729000136,CAMPINAS FIT,SP,Campinas,3509502,CENTRO,principal,1,alta,num+rua+nome,100,100,ebb5bc2b-b80d-42f4-9de6-263197969746,Campinas Fit
50282070000158,,SC,Itajaí,4208203,FAZENDA,secundario,0,,,,,,
24339925000472,,PR,Medianeira,4115804,SAO CRISTOVAO,principal,0,,,,,,
55904066000106,STUDIO SARA VIEIRA PILATES E FISIOTERAPIA,SE,Lagarto,2803500,LAUDELINO FREIRE,principal,0,,,,,,
52606490000259,,PR,Cornélio Procópio,4106407,FORTUNATO SIBIM,principal,0,,,,,,
60147759000123,KATIA LACERDA FISIOTERAPIA,MG,Patos de Minas,3148004,MORADA DA SERRA,secundario,0,,,,,,
60413276000123,MAGNA ASSISTENCIA EM SAUDE,AM,Manaus,1302603,CACHOEIRINHA,secundario,0,,,,,,
61585984000104,,SP,São Paulo,3550308,PARQUE CENTRAL,principal,0,,,,,,
61834976000154,ALDRIMAR PERSONAL,SP,Bauru,3506003,VILA AVIACAO,principal,0,,,,,,
45090210000156,DYNAMICA FISIOTERAPIA E PILATES,MT,Rondonópolis,5107602,LA SALLE II,secundario,0,,,,,,
45132439000106,,MG,Belo Horizonte,3106200,CAICARAS,principal,0,,,,,,
09034112000219,AQUA CRISTAL PADEL,RS,Rio Grande,4315602,CASSINO,secundario,0,,,,,,
